Name on gamerepo,Hindi,English,Odiya,Bangali,Punjabi,Kannada,Tamil,Telugu,Marathi,Gujarati,Assamese
Kahaniyaan,Kahaniyaan_HI,N/A,Kahaniyaan_OD,Kahaniyaan_BN,Kahaniyaan_PN,Kahaniyaan_KN,Kahaniyaan_TM,Kahaniyaan_TL,Kahaniyaan_MR,Kahaniyaan_GJ,Kahaniyaan_AS
MindMapWheel,MindMapWheel_KKS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MujheDhundho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MujheDhundho_KKS,N/A
PattaPalat,PattaPalat_KKS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ShabdhChitra,ShabdhChitra_HI,N/A,ShabdhChitra_OD,ShabdhChitra_BN,ShabdhChitra_PN,ShabdhChitra_KN,ShabdhChitra_TM,ShabdhChitra_TL,ShabdhChitra_MR,ShabdhChitra_GJ,ShabdhChitra_AS
Suno_Pehchano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Suno_Pehchano_KKS,N/A
ThikThak,ThikThak_HI,N/A,ThikThak_OD,ThikThak_BN,ThikThak_PN,ThikThak_KN,ThikThak_TM,ThikThak_TL,ThikThak_MR,ThikThak_GJ,ThikThak_AS
UlatPalat,UlatPalat_HI,N/A,UlatPalat_OD,UlatPalat_BN,UlatPalat_PN,UlatPalat_KN,UlatPalat_TM,UlatPalat_TL,UlatPalat_MR,UlatPalat_GJ,UlatPalat_AS
Dhoom_1,Dhoom_1_HI,N/A,Dhoom_1_OD,Dhoom_1_BN,Dhoom_1_PN,Dhoom_1_KN,Dhoom_1_TM,Dhoom_1_TL,Dhoom_1_MR,Dhoom_1_GJ,Dhoom_1_AS
JaanoNumber,JaanoNumber_HI,N/A,JaanoNumber_OD,JaanoNumber_BN,JaanoNumber_PN,JaanoNumber_KN,JaanoNumber_TM,JaanoNumber_TL,JaanoNumber_MR,JaanoNumber_GJ,JaanoNumber_AS
LineLagao,LineLagao_HI,N/A,LineLagao_OD,LineLagao_BN,LineLagao_PN,LineLagao_KN,LineLagao_TM,LineLagao_TL,LineLagao_MR,LineLagao_GJ,LineLagao_AS
Number123,Number123_HI,N/A,Number123_OD,Number123_BN,Number123_PN,Number123_KN,Number123_TM,Number123_TL,Number123_MR,Number123_GJ,Number123_AS
NumberRecognition,NumberRecognition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NumberRecognition2,NumberRecognition2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JumbleTumble,JumbleTumble_HI,JumbleTumble,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Atulya Bharat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CorrectPair,N/A,CorrectPair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CountAndKnow,N/A,CountAndKnow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CountIt,N/A,CountIt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cricket,Cricket_HI,N/A,Cricket_OD,Cricket_BN,Cricket_PN,Cricket_KN,Cricket_TM,Cricket_TL,Cricket_MR,Cricket_GJ,Cricket_AS
De dana dan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dhoom_2,Dhoom_2_HI,N/A,Dhoom_2_OD,Dhoom_2_BN,Dhoom_2_PN,Dhoom_2_KN,Dhoom_2_TM,Dhoom_2_TL,Dhoom_2_MR,Dhoom_2_GJ,Dhoom_2_AS
UlatPalat2Science,N/A,UlatPalat2Science,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UlatPalatScience,N/A,UlatPalatScience,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
